Number of People,Outcome
477,Saved By CAVs
478,Saved By CAVs
479,Saved By CAVs
480,Saved By CAVs
481,Saved By CAVs
482,Saved By CAVs
483,Saved By CAVs
484,Saved By CAVs
485,Saved By CAVs
486,Saved By CAVs
487,Saved By CAVs
488,Saved By CAVs
489,Saved By CAVs
490,Saved By CAVs
491,Saved By CAVs
492,Saved By CAVs
493,Saved By CAVs
494,Saved By CAVs
495,Saved By CAVs
496,Saved By CAVs
497,Saved By CAVs
498,Saved By CAVs
499,Saved By CAVs
500,Saved By CAVs
501,Saved By CAVs
502,Saved By CAVs
503,Saved By CAVs
504,Saved By CAVs
505,Saved By CAVs
506,Saved By CAVs
507,Saved By CAVs
508,Saved By CAVs
509,Saved By CAVs
510,Saved By CAVs
511,Saved By CAVs
512,Saved By CAVs
