MasterFile,NumberKilled,CollisionDate,CollisionTime,ParkingLotIndicator,IntersectionWith_Indicator_,NumberInjured,ofUnits,ofMotorVehicleUnits,SpeedLimitNumber,LatitudeDecimalNumber,LongitudeDecimalNumber,MannerofCollisionCode,TotalLanes,RoadwayCharacterCode,RoadwaySurfaceCode,RoadwayConditionCode,WeatherCode,LightConditionCode,RT_UNIQUE,LaneDepart
71743027,1,20160303,1259,0,0,1,1,1,45,37.13586,-85.983147,9,2,6,1,1,3,2,005-KY-0070  -,1
71757700,1,20160331,756,0,0,0,1,1,55,37.079449,-88.940063,9,2,1,1,5,3,2,004-US-0060  -,1
71831450,1,20160810,1600,0,0,0,1,1,55,36.97541,-89.09713,9,2,6,1,1,2,2,004-US-0051  -,1
71757697,1,20160407,1105,0,0,2,2,2,55,37.04464,-88.981209,3,2,1,1,5,2,2,004-KY-0802  -,0
71896933,1,20161110,1441,0,0,7,1,1,35,36.99707,-88.889862,9,2,2,1,1,2,2,004-KY-0473  -,1
71730482,1,20160125,1916,0,0,0,2,1,55,37.005249,-88.842163,9,2,6,1,1,2,6,004-KY-0286  -,0
71813135,1,20160604,1305,0,0,0,1,1,55,37.965519,-84.910507,9,2,3,1,1,2,2,003-KY-0749  -,1
71723023,1,20160115,700,0,0,1,1,1,55,38.008362,-84.980713,9,2,1,1,5,2,3,003-KY-0044  -,1
71769516,1,20160505,1612,0,0,0,2,2,55,36.743778,-86.216873,1,4,6,1,1,2,2,002-US-0031 E-,0
71718775,1,20160108,1253,0,0,0,1,1,55,37.074169,-85.297173,9,2,6,1,1,3,2,001-KY-0055  -,1
71716163,1,20160106,1909,0,0,0,2,1,45,38.097469,-85.872818,9,5,6,1,1,2,5,001-KY-0055  -,0
71716228,1,20160106,1316,0,0,0,1,1,55,36.733849,-84.151009,9,2,3,1,1,2,2,001-KY-0055  -,1
71723923,1,20160113,1900,0,0,0,1,1,55,37.893261,-84.490761,9,2,3,1,1,2,6,001-KY-0055  -,1
71726071,1,20160127,2236,0,0,0,1,1,55,37.709202,-87.127708,9,4,6,1,1,2,6,001-KY-0055  -,1
71732864,1,20160210,2125,0,0,0,1,1,55,36.68853,-86.364609,9,2,4,1,5,3,6,001-KY-0055  -,1
71735324,1,20160215,930,0,0,3,1,1,55,37.190189,-83.149521,9,2,6,1,4,6,2,001-KY-0055  -,1
71737818,1,20160212,1400,0,1,2,2,2,55,37.77953,-85.936111,1,4,6,1,1,3,2,001-KY-0055  -,0
71738226,1,20160220,1825,0,0,1,2,2,55,37.297798,-84.950043,1,2,6,1,1,2,6,001-KY-0055  -,0
71755049,1,20160318,2007,0,0,0,1,1,55,36.689831,-83.969482,9,2,6,1,1,2,6,001-KY-0055  -,1
